tweet,sentiment,emotion,class
arumai,0,0,0
pani poori ku pirandha unaku thaai mozhiyoda arumai theriya vaaipilla ongi sevul le vitta amma nu kathuviya mummy nu illa maatha ji nu kathuviya ,1,1,1
arumai ,0,0,0
dmk ku vote potutomnu yarelam ipa feel panitu irukenga ipa teriyuthu daw eps uh unga arumai seirenganu ungala thappa pesi seira ivanugala kondu vandhu mudunju poch,1,1,1
appa irukura varaikum avarum enkita pesa mataru naanum pesa maten ipo appa ila yenguren irukura varaikum arumai theriyadhu evalo baaratha sumandhutu irundharu nu adha enoda thozh la vekurapo dha puriyudhu,0,1,0
arumai,0,0,0
arumai theriyala avingalauku ,0,1,0
arumai sister,0,0,0
location arumai ,0,0,0
arumai anna ,0,0,0
arumai thambi,0,0,0
arumai,0,0,0
super arumai sister ,0,0,0
trailer arumai ,0,0,0
arumai da ,0,0,0
arumai arumai nala vilakum ,0,0,0
arumai yana design akka nalla iruku akka ,0,0,0
arumai arumai ,0,0,0
alagana valimaiyana kundi oppatharku arumai,1,1,1
arumai yana pathivugal na ,0,0,0
arumai arumai nala pathil ,0,0,0
arumai yana vasakam ,0,0,0
arumai doli avana serupalaye adikkanum,0,1,0
ethu peru thaan pottu vangarthu arumai arumai ,0,0,0
nandri ,0,0,0
nandri bro ,0,0,0
nandri nanbare ,0,0,0
nandri annae,0,0,0
nandri anna ,0,0,0
thats pm modi apology keta vayala nandri nu solla vachar pathingla manick baba ,0,0,0
nandri ,0,0,0
veettukku kelambutn nandri,0,0,0
nandri thomas happening btw ,0,0,0
nandri bro ,0,0,0
nandri ka ,0,0,0
nandri arasi,0,0,0
template ku nandri ,0,0,0
nandri bro adhuku thaan hair vitutu iruken papomm ,0,0,0
nandri bro always inspiring from pavi pup ,0,0,0
nandri dr ,0,0,0
nandri mams ,0,0,0
nandri jd ,0,0,0
nandri ,0,0,0
ayyappan is youtube journalist to whom you givenfireyyy ipo exposed bb corrupted na edhuku ya unga vikraman ulla en vote panuna makkaluku nandri nu kathitu eruntharu modi kum oscar kum enna ya relationship puriala ,0,1,0
nandri anney ,0,0,0
nandri pa ,0,0,0
nandri dr ,0,0,0
nandri mams,0,0,0
nandri bro ,0,0,0
nandri vanakkam ,0,0,0
nandri mams ,0,0,0
nandri,0,0,0
nandri bro ,0,0,0
itha quote tweet panathuku nandri,0,0,0
nandri thomas when ,0,0,0
